                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0159,                0.87977,                 1.6297,                0.93026,                0.94079,                0.98929,                0.77859,                0.95851,                 1.0319,                 1.5713,             0.00055807,             0.00055807,             0.00055807
                     46,                 1.1257,                  0.934,                 1.6926,                0.92373,                0.97624,                  0.995,                 0.8117,                0.91951,                0.96479,                 1.5345,             0.00056061,             0.00056061,             0.00056061
                     47,                 1.0505,                0.98267,                  1.717,                0.92373,                0.97624,                  0.995,                 0.8117,                0.91951,                0.96479,                 1.5345,              0.0005627,              0.0005627,              0.0005627
                     48,                 0.9726,                 1.0336,                 1.6153,                0.94383,                0.96033,                  0.995,                0.78986,                 1.0163,                0.88685,                 1.5954,             0.00056435,             0.00056435,             0.00056435
                     49,                 1.1082,                0.90139,                 1.6035,                0.94383,                0.96033,                  0.995,                0.78986,                 1.0163,                0.88685,                 1.5954,             0.00056556,             0.00056556,             0.00056556
                     50,                 1.0315,                0.81664,                 1.5471,                0.94425,                0.95486,                  0.995,                0.80646,                0.91781,                0.87577,                 1.5412,             0.00056633,             0.00056633,             0.00056633
                     51,                 0.9871,                0.84793,                 1.5525,                0.94425,                0.95486,                  0.995,                0.80646,                0.91781,                0.87577,                 1.5412,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.0535,                0.89506,                 1.5659,                0.91984,                0.98688,                  0.995,                0.82051,                0.83968,                0.90122,                 1.4932,             0.00055006,             0.00055006,             0.00055006
                     53,                0.96085,                0.90949,                 1.5151,                0.91984,                0.98688,                  0.995,                0.82051,                0.83968,                0.90122,                 1.4932,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.1308,                 1.0378,                 1.7558,                0.92315,                 0.9878,                  0.995,                0.80237,                0.86707,                0.88568,                 1.4999,             0.00052806,             0.00052806,             0.00052806
                     55,                0.97739,                0.88224,                 1.5378,                0.92315,                 0.9878,                  0.995,                0.80237,                0.86707,                0.88568,                 1.4999,             0.00051706,             0.00051706,             0.00051706
                     56,                 0.9757,                 0.8406,                 1.4898,                0.95295,                0.97809,                  0.995,                0.82885,                0.80431,                0.86753,                 1.4489,             0.00050606,             0.00050606,             0.00050606
                     57,                0.99467,                0.85778,                 1.5419,                0.95295,                0.97809,                  0.995,                0.82885,                0.80431,                0.86753,                 1.4489,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.1088,                0.96106,                 1.7116,                0.96178,                0.92387,                0.98929,                0.78958,                0.93317,                0.92385,                 1.5251,             0.00048406,             0.00048406,             0.00048406
                     59,                0.93506,                0.83084,                 1.5322,                0.96178,                0.92387,                0.98929,                0.78958,                0.93317,                0.92385,                 1.5251,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.1051,                 0.8552,                 1.5033,                0.96124,                0.93555,                0.98929,                0.77072,                0.99981,                0.94157,                 1.5592,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.1915,                 1.1345,                 1.8218,                0.96124,                0.93555,                0.98929,                0.77072,                0.99981,                0.94157,                 1.5592,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.0831,                0.88597,                 1.6312,                0.96703,                0.94315,                0.98929,                0.81258,                0.89987,                0.92053,                 1.4926,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.0057,                0.96214,                 1.6811,                0.96703,                0.94315,                0.98929,                0.81258,                0.89987,                0.92053,                 1.4926,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0116,                0.85636,                 1.5763,                 0.9542,                0.99038,                  0.995,                0.82627,                0.78502,                0.87164,                 1.4256,             0.00041807,             0.00041807,             0.00041807
                     65,                0.93649,                0.82872,                 1.5164,                 0.9542,                0.99038,                  0.995,                0.82627,                0.78502,                0.87164,                 1.4256,             0.00040707,             0.00040707,             0.00040707
                     66,                0.97042,                0.82767,                  1.602,                0.96442,                0.98664,                  0.995,                0.83676,                0.79023,                0.87089,                  1.438,             0.00039607,             0.00039607,             0.00039607
                     67,                0.93449,                0.75897,                 1.4801,                0.96442,                0.98664,                  0.995,                0.83676,                0.79023,                0.87089,                  1.438,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.0318,                0.85366,                 1.6133,                0.96453,                0.97854,                  0.995,                0.82004,                0.81114,                0.86614,                 1.4576,             0.00037407,             0.00037407,             0.00037407
                     69,                0.96729,                0.83251,                 1.5789,                0.96453,                0.97854,                  0.995,                0.82004,                0.81114,                0.86614,                 1.4576,             0.00036307,             0.00036307,             0.00036307
                     70,                0.93684,                0.79211,                 1.5342,                0.96909,                0.95833,                0.98929,                0.79903,                0.89816,                0.90943,                 1.5295,             0.00035208,             0.00035208,             0.00035208
                     71,                0.96125,                0.79733,                 1.5087,                0.96909,                0.95833,                0.98929,                0.79903,                0.89816,                0.90943,                 1.5295,             0.00034108,             0.00034108,             0.00034108
                     72,                0.93814,                0.85035,                 1.5146,                0.97678,                  0.951,                0.98929,                0.74148,                 1.0309,                 0.9847,                 1.6331,             0.00033008,             0.00033008,             0.00033008
                     73,                0.93931,                0.81407,                 1.5098,                0.97678,                  0.951,                0.98929,                0.74148,                 1.0309,                 0.9847,                 1.6331,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.0436,                0.78258,                 1.5549,                0.96742,                 0.9547,                0.98929,                0.75966,                0.99899,                0.98047,                 1.6219,             0.00030808,             0.00030808,             0.00030808
